"Step","SpaceInvadersNoFrameskip-v4__dqn_atari__1__1745790578 - charts/local_optimality_gap","SpaceInvadersNoFrameskip-v4__dqn_atari__1__1745790578 - charts/local_optimality_gap__MIN","SpaceInvadersNoFrameskip-v4__dqn_atari__1__1745790578 - charts/local_optimality_gap__MAX","SpaceInvadersNoFrameskip-v4__dqn_atari__3__1745790573 - charts/local_optimality_gap","SpaceInvadersNoFrameskip-v4__dqn_atari__3__1745790573 - charts/local_optimality_gap__MIN","SpaceInvadersNoFrameskip-v4__dqn_atari__3__1745790573 - charts/local_optimality_gap__MAX","SpaceInvadersNoFrameskip-v4__dqn_atari__2__1745790573 - charts/local_optimality_gap","SpaceInvadersNoFrameskip-v4__dqn_atari__2__1745790573 - charts/local_optimality_gap__MIN","SpaceInvadersNoFrameskip-v4__dqn_atari__2__1745790573 - charts/local_optimality_gap__MAX"
"84","368.0952453613281","368.0952453613281","368.0952453613281","353.33331298828125","353.33331298828125","353.33331298828125","257.9761962890625","257.9761962890625","257.9761962890625"
"85","369.308837890625","369.308837890625","369.308837890625","354.6470642089844","354.6470642089844","354.6470642089844","257.7205810546875","257.7205810546875","257.7205810546875"
"86","369.56396484375","369.56396484375","369.56396484375","355.0581359863281","355.0581359863281","355.0581359863281","258.86627197265625","258.86627197265625","258.86627197265625"
"87","369.9856262207031","369.9856262207031","369.9856262207031","355.11492919921875","355.11492919921875","355.11492919921875","258.0890808105469","258.0890808105469","258.0890808105469"
"88","371.3636474609375","371.3636474609375","371.3636474609375","356.5909118652344","356.5909118652344","356.5909118652344","257.272705078125","257.272705078125","257.272705078125"
"89","372.4859619140625","372.4859619140625","372.4859619140625","357.13482666015625","357.13482666015625","357.13482666015625","257.37359619140625","257.37359619140625","257.37359619140625"
"90","372.8611145019531","372.8611145019531","372.8611145019531","358.5","358.5","358.5","256.6388854980469","256.6388854980469","256.6388854980469"
"91","374.326904296875","374.326904296875","374.326904296875","357.19781494140625","357.19781494140625","357.19781494140625","255.9203338623047","255.9203338623047","255.9203338623047"
"92","373.9674072265625","373.9674072265625","373.9674072265625","358.4239196777344","358.4239196777344","358.4239196777344","257.1739196777344","257.1739196777344","257.1739196777344"
"93","374.31451416015625","374.31451416015625","374.31451416015625","358.6559143066406","358.6559143066406","358.6559143066406","256.0887145996094","256.0887145996094","256.0887145996094"
"94","373.6968078613281","373.6968078613281","373.6968078613281","357.6595764160156","357.6595764160156","357.6595764160156","256.5159606933594","256.5159606933594","256.5159606933594"
"95","372.618408203125","372.618408203125","372.618408203125","356.84210205078125","356.84210205078125","356.84210205078125","257.25","257.25","257.25"
"96","373.75","373.75","373.75","357.70831298828125","357.70831298828125","357.70831298828125","257.96875","257.96875","257.96875"
